user,restoran,text,pesanan,harga,lokasi,kategori,rating
henie_herliani,Yamato Gyukatsu,"Ada menu unik disini cold soba set alias mie dingin .Tempat cozy , pelayanannya bagus .- gyukatsu set : daging sapi yang dibakar sendiri, daging nya empuk dan enak .dicocol saus tambah mantep rasanya.- soup nya gurih , ada potongan tahu putih dan rumput laut.- cold soba set : mie unik karna disajikan dingin , mie nya dicelup ke saus dingin. Disajikan dengan aneka gorengan yang enak dan garing .- chicken teriyaki set : potongan ayamnya besar² , tepungnya crispy ,  sausnya juga mantep . - Set c : aneka sate daging ayam dan sapi. empuk , bumbunya berasa dan enak semua .- Onigiri : dibakar sblm disajikan , jadi garing diluar tapi lembut didalam. - Sunkist juice :  seger dan manisnya pas.","gyukatsu set, Cold Soba Set, Chicken Teriyaki Set, Set C, Onigiri, Sunkist Juice"," > Rp. 200.000


",Sukajadi,Jepang,3.8
henie_herliani,Jenderal Kopi Nusantara Buwas,"Selalu terpukau dengan menu² disini .Ada menu Nusantara dan western juga , Kali ini nyoba menu Nusantara.- garang asam : lekoh banget kuahnya , potongan ayamnya besar² , the best pokoknya. - chicken A.O.P : dagingnya tebal bentuknya kotak².Spaghetti nya aldente , rasanya lumayan pedas dan gurih . - grilled Australian tenderloin : dagingnya tebal , empuk , bumbunya berasa , sausnya mantep. - aromatic blass : rasanya unik tapi enak .- mango cream cheese : minuman unik yang enak banget , seperti kue yang diminum . Mangga nya berasa tapi lebih dominan keju . - berry ice coffe : kopi dengan campuran berry , rasanya unik .- jenderal ice coffe : kopi dengan rempah , cocok untuk pecinta kopi.","Garang Asam, grilled australian tenderloin, Aromatic Blass, Mango cream cheese, berry ice coffe, jenderal ice coffe, Chicken A.O.P"," < Rp. 50.000


",Riau,Kafe,3.8
henie_herliani,Third Space,"Kesini lagi untuk ke 2x nya , masih rame tapi ga waiting list.- bihun kuah tomyum : kuah tomyum nya seger , ada taburan daging ayam dan basonya juga . 1 porsi bikin kenyang.- lumpia kulit tahu : garing tapi dalemnya lembut , isiannya juga banyak dan enak .- toast Kitkat crunchy : rotinya garing , Kitkat crunchy nya banyak dan ada taburan keju nya . Perpaduan manis dan gurih.- croissant double cheese : crispy dan lembut , kejunya banyak dan rasanya gurih sampe akhir.- green mighty : campuran Apple ,pakcoy, nanas dan lemon . Rasanya seger dan manisnya pas.- Milo macchiato : enak banget ini , lekoh dan milonya berasa.- signature matcha : - ricebowl salted egg : nasinya pulen , potongan dagingnya besar². Salted egg nya berasa, dan ada rasa kacang dari taburan wijennya.- gyoza : empuk dan isian daging ayamnya enak . Tersaji dengan kuah yang berasa jahenya . Rasanya jadi oriental.","Bihun Kuah Tomyum, Lumpia Kulit Tahu, Toast Kitkat Crunchy, Croissant Double Cheese, Green Mighty, milo macchiato, Signature Matcha, rice bowl salted egg, Gyoza"," < Rp. 50.000


",Ahmad Yani,Kafe,4.0
henie_herliani,Briiz Chocolate Cafe,"Tempatnya cozy , pelayanannya cepat dan ramah .Spesialis nya cokelat, dari minuman sampe cemilan.- chocolate dream : rasanya coklat banget dan lekoh , ada rasa paitnya tapi masih oke . Diminum sampe tetes terakhir saking enaknya.- cappuccino addict : kopinya berasa banget , tapi manisnya kurang . Cocok buat pecinta kopi.","Chocolate dream ice, cappuccino addict ice"," < Rp. 50.000


",Palasari,Kafe,3.8
henie_herliani,Waroeng Pengkolan by Strofi Kitchen,"Baru buka aja udah ngantri , tempatnya ga terlalu besar . Untuk rotinya ada kukus dan bakar , topping nya banyak . Selain roti ada gohyong , mie dan aneka minuman.- roti ( kukus ) : empuk , porsinya mini . Topping dan rotinya pas .- gohyong : isiannya daging ayam tapi rasanya ga daging banget. Untuk kuahnya ga terlalu lekoh dan rasanya lumayan.- es kopi susu : kopi & susunya berasa pas .- Thai milk tea : teh dan susunya berasa , manisnya ok- es green tea : green tea nya berasa tapi ga lekoh , manisnya pas .","red velvet cheese, Matcha, blueberry, Tiramisu, Es green tea, Thai Milk Tea, Es kopi susu, Gohyong"," < Rp. 50.000


",Gunung Batu,Indonesia,3.2
henie_herliani,Paragraph Coffee & Eatery,"Tempat nongki baru di jalan nanas .Tempatnya penuh terus , pilihan menu nya juga banyak.* Matcha latte : matcha wangi dan lekoh banget , manisnya pas ,  perpaduan matcha dan lattenya mantep .* Tree cheese : adonannya tebal tapi lembut , kejunya lumer ,  Sausnya barbeque , potongan nya bisa 4 slice / 8 slice.Ada cocolan saus cabe dan saus tomat nya.","Matcha Latte, tree cheese"," < Rp. 50.000


",Riau,Kafe,3.6
henie_herliani,Ayam Penyet Rempah,"Akhirnya nyobain ayam penyet rempah , tempatnya penuh terus .* Nasi ayam rempah ( nasi , sambel , ayam dan jukut goreng ) : nasinya bersih dan pulen , ayamnya enak dan gurih. Jukut gorengnya enak tapi sambelnya kurang pedas .* Nasi lada ayam rempah ( nasi pedas , ayam , sambel dan jukut goreng : nasinya sudah dicampur sama sambel , ayamnya gurih . Jukut gorengnya enak dan crispy. Sambelnya enak .* Nasi ayam Rempah komplit ( nasi , ayam, tahu, tempe , sambel dan jukut goreng ) : isinya sama dengan nasi ayam rempah , cuman ada tambahan tempe dan tahu goreng . Sambelnya enak dan jukut gorengnya juga enak.* Sate usus : garing dan enak berasa bumbunya.","Nasi Ayam Rempah, nasi ayam rempah komplit, nasi lada ayam rempah, Sate Usus"," < Rp. 50.000


",Dipatiukur,Indonesia,3.8
henie_herliani,Drink 217,"Tempatnya 1 area dengan kedai makanan . Sambil makan , bisa beli minuman disini.Untuk jam bukanya mulai dari jam 3 sore .* Caffe latte : kopinya berasa, tapi ga berasa manis . Jadi rasanya dominan kopi .* Bittter of love : campuran susu dan strawberry. Rasanya manis tapi ada segernya juga .","cafe latte, bitter of love"," < Rp. 50.000


",Dipatiukur,Kafe,3.8
henie_herliani,Omija,"Salfok sama tulisan serba Rp 9.900 untuk menu minuman.Selain minuman ada donut dan croissant juga.- iced kopi susu gula aren : creamy dan kopinya berasa , manisnya juga pas .- ice cafe latte : kopinya berasa , tapi manisnya kurang dan lumayan creamy.","Iced Kopi Susu Gula Aren, Iced Cafe Latte"," < Rp. 50.000


",Gatot Subroto,Korea,3.8
henie_herliani,Eightfully Milk & Coffee Bar,"Beli cromboloni dari eightfully di event pergi kuliner di tsm . Salfok sama ukurannya yang gendut , tebal dan isian nya melimpah. Variannya lumayan banyak tapi banyak yg udah abis - chocolate : kulitnya crispy , dalemnya lembut , isiannya banyak sampe tumpah² . Coklatnya enak dan ga pait.- strawberry vanilla : isiannya krim vanila dan potongan strawberry, rasanya manis tapi ada segernya juga . Kulitnya crispy tapi lembut didalam.- cream cheese rasberry : perpaduan gurih dan seger dari rasberry. Enak banget rasanya , favorit.Kulitnya tebal , crispy tapi dalemnya lembut dan isiannya melimpah.","Cromboloni cream cheese rasberry, cromboloni chocolate, cromboloni strawberry vanilla"," < Rp. 50.000


",Astana Anyar,Kafe,3.8
